,Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
59,58,Ante Budimir,FW,hr Croatia,32-350,1991,1.4,16,15,1,0,0,0,1,0,0,0,0,0,8,0,1,Matches
60,59,Adam Buksa,FW,pl Poland,27-360,1996,1.7,13,11,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
61,60,Andrei Burcă,DF,ro Romania,31-082,1993,4.0,141,132,9,5,0,3,1,4,0,0,0,0,113,0,2,Matches
62,61,Riccardo Calafiori,DF,it Italy,22-048,2002,3.0,232,228,4,4,0,3,1,0,0,0,0,0,215,0,2,Matches
63,62,Hakan Çalhanoğlu,MF,tr Türkiye,30-149,1994,2.9,204,188,16,4,0,1,11,0,11,4,4,0,184,0,0,Matches
64,63,Eduardo Camavinga,MF,fr France,21-239,2002,1.6,75,75,0,0,0,0,0,0,0,0,0,0,64,0,1,Matches
65,64,Andrea Cambiaso,"FW,DF",it Italy,24-137,2000,0.8,48,46,2,0,0,0,5,1,1,1,0,0,38,0,1,Matches
66,65,Emre Can,MF,de Germany,30-176,1994,1.1,70,68,2,2,0,0,0,0,0,0,0,0,65,0,1,Matches
67,66,João Cancelo,"DF,MF",pt Portugal,30-040,1994,3.8,259,230,27,1,2,4,9,26,0,0,0,0,224,2,7,Matches
68,67,Yannick Carrasco,"DF,FW",be Belgium,30-306,1993,2.4,98,93,5,1,1,0,3,4,0,0,0,0,84,0,1,Matches
69,68,Dani Carvajal,DF,es Spain,32-177,1992,4.2,253,228,25,5,0,1,6,20,0,0,0,0,229,0,3,Matches
70,69,Timothy Castagne,DF,be Belgium,28-214,1995,4.0,221,187,34,3,0,0,5,31,0,0,0,0,187,0,4,Matches
71,70,Koen Casteels,GK,be Belgium,32-011,1992,4.0,143,103,39,4,0,0,0,0,0,0,0,0,119,1,0,Matches
72,71,Žan Celar,"FW,MF",si Slovenia,25-114,1999,0.7,18,17,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
73,72,Zeki Çelik,"DF,MF",tr Türkiye,27-140,1997,1.1,50,42,8,2,0,0,3,6,0,0,0,0,41,0,4,Matches
74,73,Václav Černý,MF,cz Czechia,26-263,1997,0.6,33,29,4,0,0,1,5,0,4,1,3,0,26,0,1,Matches
75,74,Giorgi Chakvetadze,"MF,FW",ge Georgia,24-312,1999,2.7,93,88,5,0,0,1,4,1,4,3,1,0,79,0,1,Matches
76,75,Federico Chiesa,"FW,MF",it Italy,26-255,1997,2.9,104,100,3,1,1,1,17,0,2,1,1,0,69,1,9,Matches
78,76,Tomáš Chorý,MF,cz Czechia,29-162,1995,0.4,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
79,77,Andreas Christensen,DF,dk Denmark,28-087,1996,3.9,231,228,3,3,0,0,0,0,0,0,0,0,218,0,1,Matches
80,78,Ryan Christie,"MF,FW",sct Scotland,29-135,1995,1.1,20,17,3,0,0,0,1,1,0,0,0,0,15,0,1,Matches
81,79,Mojmir Chytil,FW,cz Czechia,25-068,1999,1.2,15,14,1,0,0,0,2,0,0,0,0,0,6,0,3,Matches
82,80,Alexandru Cicâldău,MF,ro Romania,26-364,1997,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
83,81,Florinel Coman,MF,ro Romania,26-087,1998,1.3,28,26,2,0,0,0,1,2,0,0,0,0,20,0,2,Matches
84,82,Kingsley Coman,MF,fr France,28-023,1996,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
85,83,Francisco Conceição,"FW,MF",pt Portugal,21-205,2002,2.0,129,127,2,0,0,0,16,2,0,0,0,0,101,0,5,Matches
86,84,Diogo Costa,GK,pt Portugal,24-291,1999,5.7,155,122,33,6,0,0,0,1,0,0,0,0,140,0,0,Matches
87,85,Vladimír Coufal,"DF,FW",cz Czechia,31-319,1992,3.0,149,110,39,2,0,0,22,30,7,1,5,0,103,0,5,Matches
88,86,Bryan Cristante,MF,it Italy,29-125,1995,1.5,114,113,1,1,0,1,3,0,0,0,0,0,101,0,0,Matches
89,87,Kevin Csoboth,DF,hu Hungary,24-016,2000,0.1,8,6,2,2,0,0,0,0,0,0,0,0,6,0,0,Matches
90,88,Marc Cucurella,DF,es Spain,25-350,1998,4.1,264,239,25,2,1,0,3,23,0,0,0,0,238,0,4,Matches
91,89,Mirlind Daku,FW,al Albania,26-187,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
92,90,Diogo Dalot,"DF,MF",pt Portugal,25-110,1999,1.7,100,94,6,0,0,0,3,6,0,0,0,0,91,0,2,Matches
93,91,Mikkel Damsgaard,FW,dk Denmark,24-003,2000,0.4,14,14,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
94,92,Kevin Danso,DF,at Austria,25-291,1998,2.4,169,163,6,5,1,1,0,0,0,0,0,0,147,0,2,Matches
95,93,Márton Dárdai,DF,hu Hungary,22-145,2002,1.9,95,83,10,3,0,3,0,6,0,0,0,0,66,2,0,Matches
96,94,Matteo Darmian,DF,it Italy,34-217,1989,1.8,107,98,9,1,0,0,1,8,0,0,0,0,97,0,2,Matches
97,95,Zuriko Davitashvili,"FW,MF",ge Georgia,23-142,2001,1.3,37,36,1,0,0,0,1,0,1,0,1,0,33,0,0,Matches
98,96,Paweł Dawidowicz,DF,pl Poland,29-047,1995,2.0,79,75,4,2,0,0,0,0,0,0,0,0,74,0,1,Matches
99,97,Kevin De Bruyne,MF,be Belgium,33-008,1991,4.0,227,189,37,9,7,3,21,5,20,7,4,1,164,1,7,Matches
100,98,Charles De Ketelaere,FW,be Belgium,23-118,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,99,Zeno Debast,DF,be Belgium,20-256,2003,1.2,109,102,6,1,1,1,0,5,0,0,0,0,97,1,0,Matches
102,100,Thomas Delaney,MF,dk Denmark,32-307,1991,0.9,35,35,0,0,0,0,1,0,0,0,0,0,22,0,0,Matches
104,101,Ousmane Dembélé,"FW,MF",fr France,27-052,1997,3.1,135,121,14,1,2,1,20,2,11,2,5,0,96,0,7,Matches
105,102,Merih Demiral,DF,tr Türkiye,26-123,1998,2.3,94,86,8,6,0,0,2,0,0,0,0,0,82,0,0,Matches
106,103,Giovanni Di Lorenzo,"DF,FW",it Italy,30-337,1993,4.0,323,275,48,13,2,0,2,35,0,0,0,0,285,0,3,Matches
107,104,Rúben Dias,DF,pt Portugal,27-053,1997,4.7,411,396,14,10,0,0,3,0,0,0,0,0,382,1,1,Matches
108,105,Federico Dimarco,"DF,FW",it Italy,26-239,1997,2.5,125,100,23,2,0,1,12,15,6,2,2,0,99,2,7,Matches
109,106,Berat Djimsiti,DF,al Albania,31-138,1993,3.0,144,140,3,3,0,1,0,0,0,0,0,0,127,1,0,Matches
110,107,Jeremy Doku,"FW,MF",be Belgium,22-040,2002,3.6,113,108,4,0,1,2,8,4,0,0,0,0,89,1,6,Matches
111,108,Kasper Dolberg,FW,dk Denmark,26-274,1997,0.4,10,10,0,0,0,0,1,0,0,0,0,0,7,0,0,Matches
112,109,Gianluigi Donnarumma,GK,it Italy,25-132,1999,4.0,102,81,21,5,0,0,0,0,0,0,0,0,87,0,0,Matches
113,110,David Doudera,FW,cz Czechia,26-036,1998,1.0,24,23,1,0,0,0,1,1,0,0,0,0,18,0,0,Matches
114,111,Artem Dovbyk,FW,ua Ukraine,27-015,1997,2.7,34,28,6,0,0,0,0,1,0,0,0,0,27,0,2,Matches
115,112,Denis Drăguș,FW,ro Romania,25-000,1999,3.2,54,51,3,0,0,0,1,0,0,0,0,0,35,0,1,Matches
116,113,Radu Drăgușin,DF,ro Romania,22-154,2002,4.0,106,97,9,7,1,1,0,2,0,0,0,0,90,0,0,Matches
117,114,Vanja Drkušič,DF,si Slovenia,24-250,1999,4.3,109,105,4,4,0,1,1,0,0,0,0,0,84,0,1,Matches
118,115,Kwadwo Duah,FW,ch Switzerland,27-133,1997,1.2,25,23,2,0,0,0,1,0,0,0,0,0,13,0,0,Matches
119,116,Martin Dúbravka,GK,sk Slovakia,35-173,1989,4.3,162,122,39,16,0,0,0,0,0,0,0,0,108,1,0,Matches
120,117,Ondrej Duda,MF,sk Slovakia,29-214,1994,3.5,170,162,8,3,0,1,9,0,5,1,4,0,138,0,4,Matches
121,118,Denzel Dumfries,DF,nl Netherlands,28-079,1996,3.0,188,147,41,0,0,2,14,41,0,0,0,0,151,0,7,Matches
122,119,Dávid Ďuriš,"FW,MF",sk Slovakia,25-106,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
123,120,Lasha Dvali,DF,ge Georgia,29-053,1995,4.0,132,127,5,5,0,0,0,0,0,0,0,0,115,0,1,Matches
124,121,Timi Elšnik,MF,si Slovenia,26-068,1998,4.0,117,115,2,2,0,0,4,0,0,0,0,0,87,0,2,Matches
125,122,Breel Embolo,"FW,MF",ch Switzerland,27-143,1997,2.1,30,29,1,0,2,0,1,0,0,0,0,0,23,0,1,Matches
126,123,Christian Eriksen,"MF,FW",dk Denmark,32-143,1992,3.9,215,179,36,9,1,4,32,1,26,11,9,3,159,0,5,Matches
127,124,Eberechi Eze,"MF,FW",eng England,26-007,1998,0.7,18,16,2,1,0,0,2,0,1,1,0,0,12,0,0,Matches
128,125,Wout Faes,DF,be Belgium,26-094,1998,4.0,290,277,12,5,0,2,0,1,0,0,0,0,255,1,1,Matches
130,126,Nicolò Fagioli,MF,it Italy,23-145,2001,1.1,104,97,7,2,0,1,4,0,3,2,1,0,87,0,0,Matches
131,127,João Félix,"MF,FW",pt Portugal,24-239,1999,1.2,77,70,6,1,1,0,7,1,4,1,1,0,67,1,0,Matches
132,128,Bruno Fernandes,MF,pt Portugal,29-302,1994,4.2,297,267,27,7,3,2,32,0,17,9,4,0,221,3,5,Matches
133,129,Attila Fiola,DF,hu Hungary,34-140,1990,2.0,73,67,6,2,0,0,1,4,0,0,0,0,57,0,1,Matches
134,130,Phil Foden,FW,eng England,24-039,2000,3.7,227,211,16,7,2,0,18,2,6,2,4,0,188,0,3,Matches
135,131,Youssouf Fofana,MF,fr France,25-178,1999,0.5,29,29,0,0,0,0,0,0,0,0,0,0,25,0,1,Matches
136,132,Michael Folorunsho,FW,it Italy,26-150,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,133,Przemysław Frankowski,DF,pl Poland,29-085,1995,3.0,125,113,12,1,1,1,7,11,0,0,0,0,92,0,9,Matches
138,134,Davide Frattesi,MF,it Italy,24-258,1999,2.1,60,60,0,0,0,0,2,0,0,0,0,0,44,0,6,Matches
139,135,Remo Freuler,MF,ch Switzerland,32-082,1992,3.8,173,168,5,3,0,0,0,2,0,0,0,0,149,0,4,Matches
140,136,Jeremie Frimpong,FW,nl Netherlands,23-209,2000,0.9,24,24,0,0,0,0,0,0,0,0,0,0,20,0,1,Matches
141,137,Chris Führich,FW,de Germany,26-179,1998,0.2,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
142,138,Niclas Füllkrug,FW,de Germany,31-148,1993,1.8,37,35,1,0,0,0,0,0,0,0,0,0,25,1,0,Matches
143,139,Mijat Gaćinović,DF,rs Serbia,29-149,1995,0.5,24,20,4,0,0,0,3,4,0,0,0,0,16,0,0,Matches
144,140,Cody Gakpo,FW,nl Netherlands,25-060,1999,3.8,91,86,4,1,1,0,13,3,0,0,0,0,62,1,3,Matches
145,141,Conor Gallagher,MF,eng England,24-151,2000,1.3,51,51,0,0,0,0,0,0,0,0,0,0,45,0,0,Matches
146,142,Dániel Gazdag,MF,hu Hungary,28-126,1996,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
147,143,Lutsharel Geertruida,DF,nl Netherlands,23-354,2000,1.2,81,71,10,1,0,0,1,9,0,0,0,0,74,0,0,Matches
148,144,Billy Gilmour,MF,sct Scotland,23-025,2001,2.0,113,108,4,3,0,0,4,0,0,0,0,0,95,1,2,Matches
149,145,Olivier Giroud,FW,fr France,37-280,1986,0.5,13,12,1,0,0,0,0,0,0,0,0,0,8,0,1,Matches
150,146,Klaus Gjasula,MF,al Albania,34-205,1989,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
151,147,Adam Gnezda Čerin,MF,si Slovenia,24-356,1999,4.3,164,143,20,8,0,1,10,0,12,2,4,0,127,1,0,Matches
152,148,Anthony Gordon,FW,eng England,23-133,2001,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
153,149,Jon Gorenc Stanković,MF,si Slovenia,28-174,1996,1.0,23,21,0,0,0,0,0,0,0,0,0,0,16,2,0,Matches
154,150,Michael Gregoritsch,FW,at Austria,30-079,1994,1.4,32,29,2,0,0,0,1,0,0,0,0,0,23,1,0,Matches
156,151,Antoine Griezmann,"MF,FW",fr France,33-107,1991,4.1,186,158,28,11,1,3,23,1,15,7,3,0,146,0,3,Matches
157,152,Florian Grillitsch,MF,at Austria,28-334,1995,2.2,162,158,4,3,1,1,2,1,0,0,0,0,135,0,2,Matches
158,153,Álex Grimaldo,DF,es Spain,28-290,1995,1.3,102,90,12,1,0,0,16,5,6,3,2,0,88,0,0,Matches
159,154,Pascal Groß,MF,de Germany,33-021,1991,0.5,69,68,0,0,0,0,1,0,0,0,0,0,65,1,0,Matches
160,155,Kamil Grosicki,MF,pl Poland,36-028,1988,0.2,5,4,1,0,0,0,2,0,1,0,1,0,1,0,0,Matches
161,156,Nemanja Gudelj,MF,rs Serbia,32-233,1991,1.0,64,60,4,4,0,1,0,0,0,0,0,0,61,0,0,Matches
162,157,Marc Guéhi,DF,eng England,23-359,2000,4.3,336,329,7,7,0,2,0,0,0,0,0,0,312,0,1,Matches
163,158,Péter Gulácsi,GK,hu Hungary,34-061,1990,3.0,97,72,25,11,0,0,0,0,0,0,0,0,74,0,0,Matches
164,159,Arda Güler,FW,tr Türkiye,19-132,2005,2.8,145,126,19,1,0,0,18,1,12,7,4,0,119,0,0,Matches
165,160,İlkay Gündoğan,MF,de Germany,33-256,1990,4.3,167,165,2,1,1,0,3,1,0,0,0,0,142,0,4,Matches
166,161,Angus Gunn,GK,sct Scotland,28-166,1996,3.0,117,79,38,16,0,0,0,0,0,0,0,0,72,0,0,Matches
167,162,Mert Günok,GK,tr Türkiye,35-127,1989,3.0,95,61,34,10,0,1,0,0,0,0,0,0,65,0,0,Matches
168,163,Joško Gvardiol,DF,hr Croatia,22-165,2002,3.0,158,140,18,2,1,1,0,16,0,0,0,0,144,0,1,Matches
169,164,Giorgi Gwelesiani,DF,ge Georgia,33-062,1991,1.8,36,36,0,0,0,0,0,0,0,0,0,0,26,0,0,Matches
170,165,Norbert Gyömbér,DF,sk Slovakia,32-003,1992,0.4,36,36,0,0,0,0,1,0,0,0,0,0,35,0,0,Matches
171,166,Ianis Hagi,MF,ro Romania,25-258,1998,2.1,67,63,4,1,1,1,8,1,2,0,1,0,41,0,4,Matches
172,167,Dávid Hancko,DF,sk Slovakia,26-206,1997,4.1,188,147,40,3,0,2,11,37,0,0,0,0,134,1,7,Matches
173,168,Grant Hanley,DF,sct Scotland,32-229,1991,2.5,136,136,0,0,0,1,0,0,0,0,0,0,112,0,0,Matches
174,169,Lukáš Haraslín,FW,sk Slovakia,28-041,1996,2.9,71,57,13,3,0,0,14,2,7,1,5,0,50,1,1,Matches
175,170,Kai Havertz,"FW,MF",de Germany,25-025,1999,4.3,116,110,6,0,1,0,1,0,0,0,0,0,95,0,4,Matches
176,171,Jack Hendry,DF,sct Scotland,29-060,1995,2.9,131,112,18,8,0,1,1,10,0,0,0,0,105,1,1,Matches
177,172,Benjamin Henrichs,DF,de Germany,27-134,1997,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
178,173,Theo Hernández,DF,fr France,26-274,1997,5.3,358,328,30,6,0,0,9,24,0,0,0,0,322,0,6,Matches
179,174,Morten Hjulmand,MF,dk Denmark,25-011,1999,2.7,217,212,4,4,0,2,2,0,0,0,0,0,192,1,2,Matches
180,175,Adam Hložek,MF,cz Czechia,21-347,2002,1.2,16,15,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
182,176,Tomáš Holeš,DF,cz Czechia,31-097,1993,3.0,121,116,5,4,0,0,5,1,0,0,0,0,92,0,2,Matches
183,177,Arbër Hoxha,"FW,MF",al Albania,25-274,1998,0.6,21,19,1,0,0,0,1,1,0,0,0,0,15,1,1,Matches
184,178,Robin Hranáč,DF,cz Czechia,24-159,2000,3.0,86,81,5,4,0,0,0,1,0,0,0,0,74,0,0,Matches
185,179,Elseid Hysaj,DF,al Albania,30-137,1994,2.0,59,52,7,0,0,1,3,7,0,0,0,0,48,0,1,Matches
186,180,Pierre Højbjerg,MF,dk Denmark,28-336,1995,3.9,302,294,7,6,0,4,6,1,0,0,0,0,268,1,3,Matches
187,181,Rasmus Højlund,FW,dk Denmark,21-153,2003,3.2,55,46,8,0,0,0,1,0,0,0,0,0,43,1,1,Matches
188,182,Ivan Ilić,MF,rs Serbia,23-111,2001,2.2,149,141,8,6,0,1,4,1,1,1,0,0,139,0,0,Matches
189,183,Josip Iličić,"FW,MF",si Slovenia,36-159,1988,0.3,11,11,0,0,1,0,0,0,0,0,0,0,7,0,1,Matches
190,184,Gonçalo Inácio,DF,pt Portugal,22-316,2001,1.3,150,148,2,1,0,0,1,1,0,0,0,0,134,0,3,Matches
191,185,Luka Ivanušec,MF,hr Croatia,25-223,1998,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
192,186,Erik Janža,DF,si Slovenia,31-015,1993,3.0,114,89,24,5,1,1,12,18,1,1,0,0,77,1,3,Matches
193,187,Jorginho,MF,it Italy,32-199,1991,2.4,238,232,6,5,1,1,0,0,0,0,0,0,217,0,0,Matches
194,188,Joselu,FW,es Spain,34-101,1990,1.0,18,17,1,0,0,0,0,0,0,0,0,0,15,0,1,Matches
195,189,Diogo Jota,"FW,MF",pt Portugal,27-215,1996,1.1,35,35,0,0,1,0,1,0,0,0,0,0,24,0,0,Matches
196,190,Luka Jović,"MF,FW",rs Serbia,26-196,1997,1.1,19,19,0,0,0,1,1,0,0,0,0,0,14,0,1,Matches
197,191,Josip Juranović,DF,hr Croatia,28-325,1995,1.0,65,57,8,0,0,0,8,7,0,0,0,0,53,0,2,Matches
198,192,David Jurásek,DF,cz Czechia,23-334,2000,1.8,75,64,11,1,0,0,15,9,1,0,1,0,45,0,4,Matches
199,193,Matěj Jurásek,"DF,MF",cz Czechia,20-311,2003,0.5,26,25,1,0,2,0,9,0,1,0,0,0,13,0,1,Matches
200,194,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-273,1999,4.0,245,215,29,2,1,1,4,27,0,0,0,0,214,1,3,Matches
201,195,İrfan Kahveci,FW,tr Türkiye,28-357,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
202,196,Otar Kakabadze,"DF,MF",ge Georgia,29-009,1995,4.0,171,133,37,4,0,4,5,33,0,0,0,0,124,1,2,Matches
203,197,Harry Kane,FW,eng England,30-344,1993,3.9,65,60,4,0,0,1,3,2,0,0,0,0,45,1,4,Matches
204,198,N'Golo Kanté,MF,fr France,33-099,1991,5.0,295,293,1,1,1,1,3,0,0,0,0,0,263,1,5,Matches
205,199,Žan Karničnik,DF,si Slovenia,29-292,1994,4.3,190,157,30,1,0,1,5,29,0,0,0,0,143,3,6,Matches
206,200,Guram Kashia,DF,ge Georgia,37-002,1987,4.0,114,108,6,5,0,1,0,0,0,0,0,0,93,0,0,Matches
208,201,Milos Kerkez,DF,hu Hungary,20-242,2003,2.6,77,73,3,1,0,0,14,2,0,0,0,0,47,1,5,Matches
