,Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26,1997,2,2,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,7,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
43,43,Medon Berisha,MF,al Albania,20,2003,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21,2002,4,2,156,1.7,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,5,1,18,0.0,0.58,0.58,0.0,0.58,0.02,0.17,0.19,0.02,0.19,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28,1995,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
46,46,Jaka Bijol,DF,si Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
47,47,Veljko Birmančević,DF,rs Serbia,25,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,7,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
48,48,Daley Blind,FW,nl Netherlands,33,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24,1999,3,2,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,13,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
50,50,Endre Botka,DF,hu Hungary,29,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
52,51,Jarrod Bowen,FW,eng England,27,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.0,0.49,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24,1999,4,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.07,0.06,0.07,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,3,2,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
55,54,David Brekalo,MF,si Slovenia,25,1998,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
56,55,Brian Brobbey,FW,nl Netherlands,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
57,56,Armando Broja,FW,al Albania,22,2001,2,1,108,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,1,4,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.23,0.18,0.23,Matches
58,57,Marcelo Brozović,MF,hr Croatia,31,1992,3,3,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,13,6,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
59,58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
60,59,Ante Budimir,FW,hr Croatia,32,1991,3,1,122,1.4,0,1,1,0,0,0,0,0,0.8,0.5,1.2,1.7,1,2,5,0.0,0.74,0.74,0.0,0.74,0.6,0.87,1.48,0.38,1.25,Matches
61,60,Adam Buksa,FW,pl Poland,27,1996,2,2,149,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,1,1,6,0.6,0.0,0.6,0.6,0.6,0.1,0.11,0.21,0.1,0.21,Matches
62,61,Andrei Burcă,DF,ro Romania,30,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
63,62,Riccardo Calafiori,DF,it Italy,21,2002,3,3,270,3.0,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,7,11,1,0.0,0.33,0.33,0.0,0.33,0.1,0.08,0.17,0.1,0.17,Matches
64,63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,4,4,355,3.9,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,5,18,12,0.25,0.0,0.25,0.25,0.25,0.09,0.05,0.14,0.09,0.14,Matches
65,64,Eduardo Camavinga,MF,fr France,21,2002,4,1,169,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,12,5,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.2,0.15,0.2,Matches
66,65,Andrea Cambiaso,"FW,DF",it Italy,23,2000,3,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
67,66,Emre Can,MF,de Germany,30,1994,4,1,102,1.1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.1,1,4,1,0.88,0.0,0.88,0.88,0.88,0.03,0.03,0.06,0.03,0.06,Matches
68,67,João Cancelo,"DF,MF",pt Portugal,29,1994,4,4,345,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,14,36,26,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
69,68,Yannick Carrasco,"DF,FW",be Belgium,30,1993,4,2,218,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,10,12,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
70,69,Dani Carvajal,DF,es Spain,32,1992,5,5,469,5.2,1,0,1,1,0,0,3,1,0.5,0.5,0.5,1.0,11,23,15,0.19,0.0,0.19,0.19,0.19,0.1,0.09,0.19,0.1,0.19,Matches
71,70,Timothy Castagne,DF,be Belgium,28,1995,4,4,357,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
72,71,Koen Casteels,GK,be Belgium,31,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
73,72,Žan Celar,"FW,MF",si Slovenia,24,1999,3,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
74,73,Zeki Çelik,"DF,MF",tr Türkiye,26,1997,3,1,105,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,1,3,11,0.0,0.0,0.0,0.0,0.0,0.17,0.46,0.63,0.17,0.63,Matches
75,74,Václav Černý,MF,cz Czechia,26,1997,1,1,54,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,1,2,0.0,0.0,0.0,0.0,0.0,0.81,0.17,0.99,0.81,0.99,Matches
76,75,Giorgi Chakvetadze,"MF,FW",ge Georgia,24,1999,4,3,244,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,11,7,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.02,0.14,Matches
78,76,Federico Chiesa,"FW,MF",it Italy,26,1997,4,3,263,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,14,5,32,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches
79,77,Tomáš Chorý,MF,cz Czechia,29,1995,2,0,36,0.4,0,0,0,0,0,0,0,1,0.4,0.4,0.0,0.4,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches
80,78,Andreas Christensen,DF,dk Denmark,27,1996,4,4,350,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,9,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
81,79,Ryan Christie,"MF,FW",sct Scotland,28,1995,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
82,80,Mojmir Chytil,FW,cz Czechia,24,1999,3,1,107,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,2,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches
83,81,Alexandru Cicâldău,MF,ro Romania,26,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
84,82,Florinel Coman,MF,ro Romania,25,1998,2,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
85,83,Kingsley Coman,MF,fr France,27,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
86,84,Francisco Conceição,"FW,MF",pt Portugal,21,2002,4,1,182,2.0,1,0,1,1,0,0,1,0,0.9,0.9,1.6,2.5,15,9,34,0.49,0.0,0.49,0.49,0.49,0.66,1.21,1.88,0.66,1.88,Matches
87,85,Diogo Costa,GK,pt Portugal,24,1999,5,5,510,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
88,86,Vladimír Coufal,"DF,FW",cz Czechia,31,1992,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,10,11,12,0.0,0.33,0.33,0.0,0.33,0.0,0.19,0.19,0.0,0.19,Matches
89,87,Bryan Cristante,MF,it Italy,28,1995,3,1,133,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,2,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,0.18,Matches
90,88,Kevin Csoboth,DF,hu Hungary,23,2000,2,0,9,0.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,2,1,10.0,0.0,10.0,10.0,10.0,6.22,0.0,6.22,6.22,6.22,Matches
91,89,Marc Cucurella,DF,es Spain,25,1998,6,6,545,6.1,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.2,16,29,33,0.0,0.17,0.17,0.0,0.17,0.0,0.2,0.2,0.0,0.2,Matches
92,90,Mirlind Daku,FW,al Albania,26,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,1,2,0.0,0.0,0.0,0.0,0.0,1.71,1.99,3.7,1.71,3.7,Matches
93,91,Diogo Dalot,"DF,MF",pt Portugal,24,1999,2,2,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,13,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
94,92,Mikkel Damsgaard,FW,dk Denmark,23,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
95,93,Kevin Danso,DF,at Austria,25,1998,3,2,212,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,22,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
96,94,Márton Dárdai,DF,hu Hungary,21,2002,3,2,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
97,95,Matteo Darmian,DF,it Italy,34,1989,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
98,96,Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,4,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,3,11,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
99,97,Paweł Dawidowicz,DF,pl Poland,28,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
100,98,Kevin De Bruyne,MF,be Belgium,32,1991,4,4,360,4.0,1,0,1,1,0,0,0,0,0.9,0.9,1.6,2.5,7,28,21,0.25,0.0,0.25,0.25,0.25,0.21,0.4,0.61,0.21,0.61,Matches
101,99,Charles De Ketelaere,FW,be Belgium,22,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
102,100,Zeno Debast,DF,be Belgium,20,2003,2,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
104,101,Thomas Delaney,MF,dk Denmark,32,1991,3,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,4,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.37,0.12,0.37,Matches
105,102,Ousmane Dembélé,"FW,MF",fr France,26,1997,5,4,361,4.0,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,32,14,46,0.0,0.0,0.0,0.0,0.0,0.15,0.32,0.47,0.15,0.47,Matches
106,103,Merih Demiral,DF,tr Türkiye,25,1998,4,2,208,2.3,2,0,2,2,0,0,0,0,0.7,0.7,0.0,0.7,0,4,0,0.87,0.0,0.87,0.87,0.87,0.32,0.01,0.32,0.32,0.32,Matches
107,104,Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,23,9,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
108,105,Rúben Dias,DF,pt Portugal,26,1997,4,4,420,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,22,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
109,106,Federico Dimarco,"DF,FW",it Italy,26,1997,3,3,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,6,5,13,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
110,107,Berat Djimsiti,DF,al Albania,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
111,108,Jeremy Doku,"FW,MF",be Belgium,21,2002,4,4,320,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,30,10,31,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches
112,109,Kasper Dolberg,FW,dk Denmark,26,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
113,110,Gianluigi Donnarumma,GK,it Italy,24,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
114,111,David Doudera,FW,cz Czechia,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
115,112,Artem Dovbyk,FW,ua Ukraine,26,1997,3,3,246,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,2,2,12,0.0,0.0,0.0,0.0,0.0,0.23,0.2,0.44,0.23,0.44,Matches
